"","raw.pvalue","adj.pvalue","mean.freq","direction.GroupSham.Veh","otu.name","Taxonomy"
"1",9.09e-05,0.00108,0.00329,"-","4","superpathway of L-aspartate and L-asparagine biosynthesis"
"2",9.09e-05,0.00108,0.00692,"-","34","D-galactose degradation I (Leloir pathway)"
"3",9.09e-05,0.00108,0.0103,"-","60","peptidoglycan biosynthesis I (meso-diaminopimelate containing)"
"4",9.09e-05,0.00108,0.00995,"-","65","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"5",9.09e-05,0.00108,0.0102,"-","66","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"
"6",9.09e-05,0.00108,0.00722,"-","81","L-lysine biosynthesis II"
"7",9.09e-05,0.00108,0.00116,"-","114","L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"8",9.09e-05,0.00108,0.00244,"-","116","superpathway of L-alanine biosynthesis"
"9",0.000273,0.00289,0.003,"-","25","inosine 5'-phosphate degradation"
"10",0.000364,0.00346,0.00184,"-","101","glycogen degradation I"
"11",0.000455,0.00394,0.0045,"-","68","seleno-amino acid biosynthesis (plants)"
"12",0.000636,0.00505,0.00695,"-","51","L-arginine degradation XIII (reductive Stickland reaction)"
"13",0.000727,0.00533,0.00234,"-","126","L-arginine biosynthesis IV (archaebacteria)"
"14",0.000818,0.00557,0.00504,"-","85","peptidoglycan biosynthesis III (mycobacteria)"
"15",0.001,0.00635,0.0788,"+","17","glycolysis IV"
"16",0.00136,0.0077,0.00122,"-","128","superpathway of purine deoxyribonucleosides degradation"
"17",0.00145,0.0077,0.000898,"-","122","acetylene degradation (anaerobic)"
"18",0.00145,0.0077,0.000898,"-","129","ethanolamine utilization"
"19",0.00173,0.00866,0.00462,"-","87","inosine-5'-phosphate biosynthesis III"
"20",0.003,0.0143,0.0074,"-","15","methylerythritol phosphate pathway I"
"21",0.00318,0.0144,0.00656,"-","14","lactose and galactose degradation I"
"22",0.00409,0.0177,0.00792,"-","26","glycogen degradation II"
"23",0.00427,0.0177,0.00144,"-","67","preQ0 biosynthesis"
"24",0.00473,0.0184,0.00201,"-","103","methylerythritol phosphate pathway II"
"25",0.00482,0.0184,0.002,"-","102","isoprene biosynthesis I"
"26",0.00582,0.0213,0.00667,"-","77","chorismate biosynthesis I"
"27",0.00645,0.022,0.0114,"-","18","L-lysine biosynthesis III"
"28",0.00645,0.022,0.00195,"-","82","sucrose degradation IV (sucrose phosphorylase)"
"29",0.007,0.023,0.0105,"-","20","L-lysine biosynthesis VI"
"30",0.00818,0.026,0.0206,"+","27","5-aminoimidazole ribonucleotide biosynthesis I"
"31",0.00964,0.0289,0.00303,"-","57","L-methionine biosynthesis III"
"32",0.01,0.0289,0.00724,"-","69","pyruvate fermentation to isobutanol (engineered)"
"33",0.0102,0.0289,0.0101,"-","50","coenzyme A biosynthesis II (eukaryotic)"
"34",0.0103,0.0289,0.0246,"+","43","guanosine ribonucleotides de novo biosynthesis"
"35",0.0112,0.0306,0.0108,"-","6","superpathway of coenzyme A biosynthesis III (mammals)"
"36",0.0123,0.0326,0.0492,"+","56","L-valine biosynthesis"
"37",0.0143,0.0356,0.0274,"+","28","5-aminoimidazole ribonucleotide biosynthesis II"
"38",0.0143,0.0356,0.0274,"+","33","superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"39",0.0146,0.0356,0.00771,"+","37","queuosine biosynthesis I (de novo)"
"40",0.0182,0.0435,0.00208,"-","92","Entner-Doudoroff pathway I"
"41",0.019,0.0442,0.000623,"-","121","Bifidobacterium shunt"
"42",0.0195,0.0442,0.0169,"-","55","UDP-N-acetyl-D-glucosamine biosynthesis I"
"43",0.0214,0.0474,0.000345,"-","137","superpathway of L-cysteine biosynthesis (mammalian)"
"44",0.0262,0.0568,0.0134,"-","22","L-isoleucine biosynthesis III"
"45",0.029,0.0614,0.00214,"-","97","superpathway of L-isoleucine biosynthesis I"
"46",0.0373,0.0773,0.0155,"-","13","L-isoleucine biosynthesis I (from threonine)"
"47",0.0383,0.0777,0.0141,"-","5","superpathway of branched chain amino acid biosynthesis"
"48",0.0413,0.0821,0.00769,"-","80","O-antigen building blocks biosynthesis (E. coli)"
"49",0.0487,0.0946,0.0089,"-","2","L-arginine biosynthesis I (via L-ornithine)"
